Product_ID,Product_Name,Category_0_counts,Category_1_counts,Category_2_counts,Category_3_counts,Category_4_counts,Category_5_counts
0,WOWOW,328,1559,278,835,1113,1887
1,スカパー,348,1583,257,812,1069,1931
2,TSUTAYA ディスカス,204,2050,360,386,746,2254
3,Netflix,191,2153,299,357,656,2344
4,Hulu,247,1916,297,540,837,2163
5,ディアボーテ HIMAWARI,65,2786,92,57,149,2851
6,ジュレーム,142,2552,201,105,306,2694
7,ラックス ルミニーク,143,2547,216,94,310,2690
8,ボタニスト,165,2495,221,119,340,2660
9,Essential,204,2560,128,108,236,2764
10,TSUBAKI,205,2557,126,112,238,2762
11,PANTENE,237,2432,163,168,331,2669
12,いち髪 スタイリングシリーズ,154,2431,294,121,415,2585
13,リーゼ スタイリングシリーズ,158,2416,285,141,426,2574
14,サラ スタイリングシリーズ,162,2439,283,116,399,2601
15,マシェリ スタイリングシリーズ,159,2439,270,132,402,2598
16,ハーゲンダッツ ミニカップ バニラ,401,1902,238,459,697,2303
17,ハーゲンダッツ ミニカップ ストロベリー,343,2121,236,300,536,2464
18,ハーゲンダッツ ミニカップ グリーンティー,258,2280,212,250,462,2538
19,ハーゲンダッツ ミニカップ チョコレートブラウニー,203,2343,228,226,454,2546
20,ヤクルト400,191,2284,290,235,525,2475
21,ジョア,191,2320,270,219,489,2511
22,明治プロビオヨーグルトR-1 ドリンクタイプ,217,2087,280,416,696,2304
23,明治プロビオヨーグルトLG21 ドリンクタイプ,189,2348,246,217,463,2537
24,明治ブルガリアヨーグルト ドリンクタイプ,235,2128,308,329,637,2363
25,恵 ガセリ菌SP株ヨーグルト ドリンクタイプ,167,2433,253,147,400,2600
26,ガーナ,278,2072,216,434,650,2350
27,meijiシリーズ,291,2030,272,407,679,2321
28,ポッキーシリーズ,319,2087,189,405,594,2406
29,キットカット,330,1899,207,564,771,2229
30,ダース,270,2269,174,287,461,2539
31,タフマン,167,2525,194,114,308,2692
32,リポビタンD,250,2196,212,342,554,2446
33,オロナミンC,256,2203,221,320,541,2459
34,チオビタドリンク,200,2288,329,183,512,2488
35,アリナミンＶ,160,2377,330,133,463,2537
36,レッドブル,170,2254,326,250,576,2424
37,ストナリニS,60,2545,342,53,395,2605
38,アレジオン10,56,2528,362,54,416,2584
39,クラリチンEX,50,2578,334,38,372,2628
40,パブロン鼻炎カプセルSα,73,2509,361,57,418,2582
41,アレグラFX,66,2465,401,68,469,2531
42,マキアージュ ドラマティックパウダリーUV,315,2496,126,63,189,2811
43,ベネフィーク ハイドロジーニアス,324,2565,72,39,111,2889
44,アルビオン エクラフチュール,327,2560,72,41,113,2887
45,コスメデコルテ モイスチュアリポソーム,320,2568,74,38,112,2888
46,プリマヴィスタ きれいな素肌質感パウダーファンデーション,308,2510,129,53,182,2818
47,アクアレーベルの化粧水,63,2786,109,42,151,2849
48,肌ラボの化粧水,73,2744,119,64,183,2817
49,キュレルの化粧水,58,2789,107,46,153,2847
50,インテグレート リアルフィットリキッド,58,2771,116,55,171,2829
51,ケイト パウダレスリキッド,56,2774,122,48,170,2830
52,ちふれ,175,2240,235,350,585,2415
53,オルビス,173,2297,232,298,530,2470
54,ケイト,172,2109,206,513,719,2281
55,タウンワーク,107,2607,245,41,286,2714
56,フロム・エー　ナビ,91,2637,241,31,272,2728
57,an,97,2635,237,31,268,2732
58,バイトル,105,2619,244,32,276,2724
59,マイナビバイト,102,2629,237,32,269,2731
60,LINEバイト,96,2635,237,32,269,2731
61,ENEOSの電力販売,188,179,252,2381,2633,367
62,ソフトバンクの電力販売,187,250,230,2333,2563,437
63,auの電力販売,195,341,306,2158,2464,536
64,東京ガスの電力販売,143,126,192,2539,2731,269
65,東急の電力販売,183,1316,450,1051,1501,1499
66,アロエステ,45,2847,66,42,108,2892
67,森永アロエヨーグルトシリーズ,119,2530,157,194,351,2649
68,明治アミノコラーゲンヨーグルトシリーズ,64,2797,83,56,139,2861
69,明治プロビオヨーグルトＲ－１シリーズ,101,2120,307,472,779,2221
70,資生堂 ザ・コラーゲンシリーズ,51,2641,252,56,308,2692
