Product_ID,Monday_Primetime,Monday_NonPrimetime,Tuesday_Primetime,Tuesday_NonPrimetime,Wednesday_Primetime,Wednesday_NonPrimetime,Thursday_Primetime,Thursday_NonPrimetime,Friday_Primetime,Friday_NonPrimetime,Saturday_Primetime,Saturday_NonPrimetime,Sunday_Primetime,Sunday_NonPrimetime
1,10080,55575,13335,45675,4095,56340,44775,62205,44025,36405,10425,71250,8805,39705
5,26340,36180,5520,23460,6870,32910,24810,23850,9570,31125,930,19905,16140,20655
6,11790,40485,10590,37185,9735,38745,6555,54495,30435,61725,17415,26265,20850,46905
7,7200,7725,42600,1065,22365,0,18360,1275,11190,885,0,0,6855,0
10,13725,19875,20265,35775,17895,29850,5460,35235,28035,25890,1845,51255,14835,31050
26,37740,26115,13215,37845,12990,35415,10425,20430,14595,28110,5790,43500,18570,17175
29,18165,23985,14535,13635,23985,18555,13380,22350,6720,23340,11190,21855,17115,42300
30,9690,2970,7200,2055,0,10260,1095,7050,0,1920,0,8625,0,6105
32,4215,30045,10545,20550,13740,16920,4215,17415,11445,17955,18150,15435,38790,29310
33,22005,28080,2790,12705,10755,21120,9960,17940,5910,19545,5460,32700,28410,19020
36,3795,2175,2925,7695,5535,8925,3300,13935,5460,7860,2610,19335,3375,32130
39,6795,139920,13230,142755,38745,182895,54180,133140,12615,110670,39360,64440,82095,99585
42,22920,40965,13440,32280,24315,68100,8010,60030,58305,31545,13920,101700,14565,46800
43,1020,13260,9420,11070,630,22680,14940,28200,9420,2970,0,56790,18810,7830
50,10560,36330,13860,15525,0,40110,10365,9300,14160,7950,7995,24015,13350,28590
54,11265,27960,0,28065,165,16230,0,14205,0,36870,12420,6630,2040,6585
55,29685,135990,43785,109935,19245,96120,68160,77025,54930,88380,21090,65010,23685,72390
58,24390,115890,8190,98115,24405,100935,32160,106740,4935,65925,5250,55020,42750,50430
66,10455,29310,4875,23070,12360,29625,13995,26370,9720,34665,0,24705,4545,24030
80,51360,95115,41250,215100,43080,147435,32310,62265,33690,64095,38100,128670,14475,135690
83,111345,120255,66000,134910,43635,117465,68205,57120,75765,93720,34575,84150,129870,158520
97,97995,155430,30465,153045,28710,114450,34920,88305,61950,128580,68700,117780,31650,74490
113,0,4860,0,2970,0,4140,14760,2400,31920,4860,58380,41880,7290,26355
114,16995,13575,16680,16440,9885,11175,4905,5310,12255,10275,5835,9360,4755,25080
118,12630,27000,25920,34620,14040,68340,0,40710,22350,21720,12570,11550,24630,38070
147,3405,0,0,0,0,4890,0,0,0,3600,2790,0,0,14940
154,5250,42390,6960,102870,8070,37440,17880,17130,18270,21420,10650,38370,40920,54690
155,14610,33990,21210,45060,9480,31860,33180,57180,960,57720,20610,36570,4080,62760
157,13380,23970,8490,30795,4740,29445,0,32925,7500,21570,7500,32310,8085,13980
158,0,0,0,0,0,0,0,0,0,0,7740,0,4470,21660
164,7965,4860,0,2970,0,0,0,0,360,6870,330,5280,0,1350
181,0,0,10800,0,0,1050,0,0,13050,0,0,1050,13410,0
185,0,0,0,0,0,0,0,0,0,0,3540,0,0,0
186,0,0,0,0,0,0,4650,0,5670,0,0,0,0,0
187,0,0,0,0,0,0,0,0,5670,0,0,0,0,0
197,0,8550,2625,17370,0,21660,45,2100,0,6075,0,6480,0,1800
