Model,Model Type,Target,Category,Predictable User Percentage (f>0.5)
svm,cm_only_prime,purchase,0,0.027333333333333334
svm,cm_only_prime,purchase,1,0.8603333333333333
svm,cm_only_prime,purchase,2,0.042
svm,cm_only_prime,purchase,3,0.038
svm,cm_only_prime,purchase,4,0.08833333333333333
svm,cm_only_prime,purchase,5,0.9253333333333333
svm,cm_only_prime,intent,0,0.006
svm,cm_only_prime,intent,1,0.6273333333333333
svm,cm_only_prime,intent,2,0.009333333333333334
svm,cm_only_prime,intent,3,0.158
svm,cm_only_prime,intent,4,0.26366666666666666
svm,cm_only_prime,intent,5,0.7276666666666667
svm,cm_only_nonprime,purchase,0,0.025333333333333333
svm,cm_only_nonprime,purchase,1,0.869
svm,cm_only_nonprime,purchase,2,0.04
svm,cm_only_nonprime,purchase,3,0.038
svm,cm_only_nonprime,purchase,4,0.089
svm,cm_only_nonprime,purchase,5,0.9306666666666666
svm,cm_only_nonprime,intent,0,0.008
svm,cm_only_nonprime,intent,1,0.623
svm,cm_only_nonprime,intent,2,0.009333333333333334
svm,cm_only_nonprime,intent,3,0.14533333333333334
svm,cm_only_nonprime,intent,4,0.24433333333333335
svm,cm_only_nonprime,intent,5,0.7313333333333333
svm,demographics,purchase,0,0.09033333333333333
svm,demographics,purchase,1,0.946
svm,demographics,purchase,2,0.14
svm,demographics,purchase,3,0.10666666666666667
svm,demographics,purchase,4,0.267
svm,demographics,purchase,5,0.973
svm,demographics,intent,0,0.0026666666666666666
svm,demographics,intent,1,0.6143333333333333
svm,demographics,intent,2,0.0013333333333333333
svm,demographics,intent,3,0.09666666666666666
svm,demographics,intent,4,0.194
svm,demographics,intent,5,0.7356666666666667
svm,cm_demo_prime,purchase,0,0.058
svm,cm_demo_prime,purchase,1,0.9146666666666666
svm,cm_demo_prime,purchase,2,0.091
svm,cm_demo_prime,purchase,3,0.07466666666666667
svm,cm_demo_prime,purchase,4,0.18333333333333332
svm,cm_demo_prime,purchase,5,0.9556666666666667
svm,cm_demo_prime,intent,0,0.007666666666666666
svm,cm_demo_prime,intent,1,0.6093333333333333
svm,cm_demo_prime,intent,2,0.010666666666666666
svm,cm_demo_prime,intent,3,0.155
svm,cm_demo_prime,intent,4,0.258
svm,cm_demo_prime,intent,5,0.7263333333333334
svm,cm_demo_nonprime,purchase,0,0.06233333333333333
svm,cm_demo_nonprime,purchase,1,0.9393333333333334
svm,cm_demo_nonprime,purchase,2,0.09833333333333333
svm,cm_demo_nonprime,purchase,3,0.08333333333333333
svm,cm_demo_nonprime,purchase,4,0.213
svm,cm_demo_nonprime,purchase,5,0.966
svm,cm_demo_nonprime,intent,0,0.007
svm,cm_demo_nonprime,intent,1,0.6256666666666667
svm,cm_demo_nonprime,intent,2,0.011
svm,cm_demo_nonprime,intent,3,0.15366666666666667
svm,cm_demo_nonprime,intent,4,0.24966666666666668
svm,cm_demo_nonprime,intent,5,0.7316666666666667
xgboost,cm_only_prime,purchase,0,0.0016666666666666668
xgboost,cm_only_prime,purchase,1,0.8633333333333333
xgboost,cm_only_prime,purchase,2,0.004
xgboost,cm_only_prime,purchase,3,0.013666666666666667
xgboost,cm_only_prime,purchase,4,0.058333333333333334
xgboost,cm_only_prime,purchase,5,0.926
xgboost,cm_only_prime,intent,0,0.0003333333333333333
xgboost,cm_only_prime,intent,1,0.5966666666666667
xgboost,cm_only_prime,intent,2,0.0
xgboost,cm_only_prime,intent,3,0.11433333333333333
xgboost,cm_only_prime,intent,4,0.21566666666666667
xgboost,cm_only_prime,intent,5,0.7186666666666667
xgboost,cm_only_nonprime,purchase,0,0.0013333333333333333
xgboost,cm_only_nonprime,purchase,1,0.8616666666666667
xgboost,cm_only_nonprime,purchase,2,0.0016666666666666668
