SampleID,precision_mean,precision_ver,recall_mean,recall_var,f1_mean,f1_var
750001,0.0,0.0,0.0,0.0,0.0,0.0
750002,0.0,0.0,0.0,0.0,0.0,0.0
750004,0.4,0.24000000000000005,0.2,0.06000000000000001,0.26666666666666666,0.10666666666666666
750005,0.13333333333333333,0.02666666666666666,0.4,0.24000000000000005,0.2,0.06000000000000001
750007,0.0,0.0,0.0,0.0,0.0,0.0
750008,0.0,0.0,0.0,0.0,0.0,0.0
750009,0.0,0.0,0.0,0.0,0.0,0.0
750010,0.0,0.0,0.0,0.0,0.0,0.0
750012,0.0,0.0,0.0,0.0,0.0,0.0
750015,0.0,0.0,0.0,0.0,0.0,0.0
750016,0.0,0.0,0.0,0.0,0.0,0.0
750017,0.0,0.0,0.0,0.0,0.0,0.0
750018,0.0,0.0,0.0,0.0,0.0,0.0
750019,0.0,0.0,0.0,0.0,0.0,0.0
750020,0.0,0.0,0.0,0.0,0.0,0.0
750022,0.0,0.0,0.0,0.0,0.0,0.0
750023,0.1,0.040000000000000015,0.2,0.16000000000000006,0.13333333333333333,0.07111111111111111
750024,0.0,0.0,0.0,0.0,0.0,0.0
750025,0.0,0.0,0.0,0.0,0.0,0.0
750026,0.0,0.0,0.0,0.0,0.0,0.0
750030,0.0,0.0,0.0,0.0,0.0,0.0
750031,0.3,0.15999999999999998,0.2,0.06000000000000001,0.2333333333333333,0.08444444444444443
750033,0.0,0.0,0.0,0.0,0.0,0.0
750034,0.08,0.0256,0.2,0.16000000000000006,0.1142857142857143,0.052244897959183675
750036,0.0,0.0,0.0,0.0,0.0,0.0
750037,0.0,0.0,0.0,0.0,0.0,0.0
750040,0.06666666666666667,0.017777777777777778,0.1,0.040000000000000015,0.08,0.0256
750041,0.0,0.0,0.0,0.0,0.0,0.0
750042,0.0,0.0,0.0,0.0,0.0,0.0
750045,0.0,0.0,0.0,0.0,0.0,0.0
750046,0.4666666666666666,0.20444444444444448,0.4,0.14,0.4133333333333333,0.15004444444444442
750047,0.2,0.16000000000000006,0.1,0.040000000000000015,0.13333333333333333,0.07111111111111111
750049,0.0,0.0,0.0,0.0,0.0,0.0
750052,0.0,0.0,0.0,0.0,0.0,0.0
750053,0.0,0.0,0.0,0.0,0.0,0.0
750057,0.0,0.0,0.0,0.0,0.0,0.0
750058,0.6599999999999999,0.011150000000000002,0.76,0.05439999999999999,0.68991452991453,0.01709939367375266
750061,0.0,0.0,0.0,0.0,0.0,0.0
750064,0.2,0.16000000000000006,0.1,0.040000000000000015,0.13333333333333333,0.07111111111111111
750065,0.0,0.0,0.0,0.0,0.0,0.0
750066,0.0,0.0,0.0,0.0,0.0,0.0
750071,0.0,0.0,0.0,0.0,0.0,0.0
750072,0.0,0.0,0.0,0.0,0.0,0.0
750073,0.16666666666666666,0.04444444444444445,0.2,0.06000000000000001,0.18,0.0496
750074,0.0,0.0,0.0,0.0,0.0,0.0
750075,0.0,0.0,0.0,0.0,0.0,0.0
750076,0.0,0.0,0.0,0.0,0.0,0.0
750077,0.0,0.0,0.0,0.0,0.0,0.0
750079,0.0,0.0,0.0,0.0,0.0,0.0
750080,0.0,0.0,0.0,0.0,0.0,0.0
750081,0.0,0.0,0.0,0.0,0.0,0.0
750082,0.0,0.0,0.0,0.0,0.0,0.0
750083,0.0,0.0,0.0,0.0,0.0,0.0
750084,0.0,0.0,0.0,0.0,0.0,0.0
750085,0.0,0.0,0.0,0.0,0.0,0.0
750087,0.0,0.0,0.0,0.0,0.0,0.0
750088,0.6,0.24000000000000005,0.6,0.24000000000000005,0.6,0.24000000000000005
750089,0.2,0.16000000000000006,0.1,0.040000000000000015,0.13333333333333333,0.07111111111111111
750090,0.0,0.0,0.0,0.0,0.0,0.0
750091,0.5,0.2,0.3,0.0711111111111111,0.3476190476190476,0.08335600907029479
750094,0.0,0.0,0.0,0.0,0.0,0.0
750097,0.0,0.0,0.0,0.0,0.0,0.0
750099,0.0,0.0,0.0,0.0,0.0,0.0
750101,0.0,0.0,0.0,0.0,0.0,0.0
750102,0.05,0.010000000000000002,0.1,0.04000000000000001,0.06666666666666667,0.017777777777777778
750104,0.0,0.0,0.0,0.0,0.0,0.0
750105,0.0,0.0,0.0,0.0,0.0,0.0
750107,0.0,0.0,0.0,0.0,0.0,0.0
750108,0.0,0.0,0.0,0.0,0.0,0.0
750110,0.0,0.0,0.0,0.0,0.0,0.0
750111,0.0,0.0,0.0,0.0,0.0,0.0
750112,0.0,0.0,0.0,0.0,0.0,0.0
750115,0.0,0.0,0.0,0.0,0.0,0.0
750116,0.0,0.0,0.0,0.0,0.0,0.0
750117,0.0,0.0,0.0,0.0,0.0,0.0
750118,0.0,0.0,0.0,0.0,0.0,0.0
750119,0.06666666666666667,0.017777777777777778,0.2,0.16000000000000003,0.1,0.04000000000000001
750121,0.4666666666666666,0.10444444444444445,0.36666666666666664,0.03777777777777778,0.38,0.0376
750122,0.0,0.0,0.0,0.0,0.0,0.0
750123,0.0,0.0,0.0,0.0,0.0,0.0
750124,0.0,0.0,0.0,0.0,0.0,0.0
750125,0.0,0.0,0.0,0.0,0.0,0.0
750126,0.0,0.0,0.0,0.0,0.0,0.0
750129,0.0,0.0,0.0,0.0,0.0,0.0
750130,0.0,0.0,0.0,0.0,0.0,0.0
750131,0.0,0.0,0.0,0.0,0.0,0.0
750132,0.0,0.0,0.0,0.0,0.0,0.0
750135,0.0,0.0,0.0,0.0,0.0,0.0
750137,0.06666666666666667,0.017777777777777778,0.06666666666666667,0.017777777777777778,0.06666666666666667,0.017777777777777778
750140,0.0,0.0,0.0,0.0,0.0,0.0
750141,0.5,0.2,0.26666666666666666,0.05111111111111112,0.3466666666666667,0.08959999999999999
750142,0.0,0.0,0.0,0.0,0.0,0.0
750144,0.0,0.0,0.0,0.0,0.0,0.0
750145,0.0,0.0,0.0,0.0,0.0,0.0
750146,0.0,0.0,0.0,0.0,0.0,0.0
750147,0.0,0.0,0.0,0.0,0.0,0.0
750149,0.0,0.0,0.0,0.0,0.0,0.0
750152,0.0,0.0,0.0,0.0,0.0,0.0
750155,0.0,0.0,0.0,0.0,0.0,0.0
750156,0.0,0.0,0.0,0.0,0.0,0.0
750157,0.0,0.0,0.0,0.0,0.0,0.0
750159,0.4,0.14,0.5,0.2,0.4333333333333333,0.15111111111111108
750160,0.6535714285714286,0.009359410430839007,0.8800000000000001,0.009599999999999996,0.7477855477855477,0.008012127732407453
750162,0.36666666666666664,0.13777777777777778,0.3,0.06000000000000001,0.3133333333333333,0.0727111111111111
750166,0.0,0.0,0.0,0.0,0.0,0.0
750168,0.0,0.0,0.0,0.0,0.0,0.0
750169,0.0,0.0,0.0,0.0,0.0,0.0
750173,0.5,0.2,0.4,0.14,0.4333333333333333,0.1511111111111111
