SampleID,Product_id,Y_Category0,Y_Category1,Y_Category2,Y_Category3,Y_Category4,Y_Category5
750001,1,0,1,0,0,0,1
750002,1,0,1,0,0,0,1
750004,1,0,0,1,0,1,0
750005,1,0,0,0,1,1,0
750007,1,0,0,0,1,1,0
750008,1,0,0,0,1,1,0
750009,1,0,1,0,0,0,1
750010,1,0,0,0,1,1,0
750012,1,1,0,0,0,0,1
750015,1,0,1,0,0,0,1
750016,1,0,1,0,0,0,1
750017,1,1,0,0,0,0,1
750018,1,0,1,0,0,0,1
750019,1,0,1,0,0,0,1
750020,1,0,0,0,1,1,0
750022,1,0,0,0,1,1,0
750023,1,0,1,0,0,0,1
750024,1,1,0,0,0,0,1
750025,1,0,0,0,1,1,0
750026,1,0,0,0,1,1,0
750030,1,0,1,0,0,0,1
750031,1,0,1,0,0,0,1
750033,1,0,0,0,1,1,0
750034,1,0,1,0,0,0,1
750036,1,0,1,0,0,0,1
750037,1,0,1,0,0,0,1
750040,1,0,1,0,0,0,1
750041,1,0,1,0,0,0,1
750042,1,0,1,0,0,0,1
750045,1,0,0,1,0,1,0
750046,1,0,0,0,1,1,0
750047,1,0,1,0,0,0,1
750049,1,0,1,0,0,0,1
750052,1,0,1,0,0,0,1
750053,1,1,0,0,0,0,1
750057,1,0,1,0,0,0,1
750058,1,0,0,0,1,1,0
750061,1,0,1,0,0,0,1
750064,1,0,1,0,0,0,1
750065,1,0,1,0,0,0,1
750066,1,1,0,0,0,0,1
750071,1,0,1,0,0,0,1
750072,1,0,1,0,0,0,1
750073,1,0,0,0,1,1,0
750074,1,1,0,0,0,0,1
750075,1,0,1,0,0,0,1
750076,1,0,0,1,0,1,0
750077,1,0,1,0,0,0,1
750079,1,0,1,0,0,0,1
750080,1,0,1,0,0,0,1
750081,1,0,0,0,1,1,0
750082,1,0,1,0,0,0,1
750083,1,0,0,0,1,1,0
750084,1,0,0,0,1,1,0
750085,1,1,0,0,0,0,1
750087,1,0,1,0,0,0,1
750088,1,0,0,0,1,1,0
750089,1,0,0,0,1,1,0
750090,1,0,0,0,1,1,0
750091,1,1,0,0,0,0,1
750094,1,0,1,0,0,0,1
750097,1,0,1,0,0,0,1
750099,1,1,0,0,0,0,1
750101,1,0,1,0,0,0,1
750102,1,0,1,0,0,0,1
750104,1,0,1,0,0,0,1
750105,1,0,1,0,0,0,1
750107,1,0,0,0,1,1,0
750108,1,0,1,0,0,0,1
750110,1,0,1,0,0,0,1
750111,1,0,1,0,0,0,1
750112,1,0,1,0,0,0,1
750115,1,0,1,0,0,0,1
750116,1,0,1,0,0,0,1
750117,1,0,0,0,1,1,0
750118,1,0,0,0,1,1,0
750119,1,0,0,1,0,1,0
750121,1,0,0,0,1,1,0
750122,1,1,0,0,0,0,1
750123,1,1,0,0,0,0,1
750124,1,0,1,0,0,0,1
750125,1,0,1,0,0,0,1
750126,1,0,0,1,0,1,0
750129,1,0,0,0,1,1,0
750130,1,0,1,0,0,0,1
750131,1,0,0,0,1,1,0
750132,1,0,1,0,0,0,1
750135,1,1,0,0,0,0,1
750137,1,0,0,0,1,1,0
750140,1,0,0,1,0,1,0
750141,1,0,0,0,1,1,0
750142,1,0,1,0,0,0,1
750144,1,0,1,0,0,0,1
750145,1,0,1,0,0,0,1
750146,1,1,0,0,0,0,1
750147,1,0,1,0,0,0,1
750149,1,0,0,0,1,1,0
750152,1,0,1,0,0,0,1
750155,1,0,1,0,0,0,1
750156,1,1,0,0,0,0,1
750157,1,0,1,0,0,0,1
750159,1,0,1,0,0,0,1
750160,1,0,0,0,1,1,0
750162,1,0,0,0,1,1,0
750166,1,1,0,0,0,0,1
750168,1,0,0,1,0,1,0
750169,1,0,1,0,0,0,1
750173,1,0,0,0,1,1,0
750174,1,0,1,0,0,0,1
750175,1,1,0,0,0,0,1
750176,1,0,1,0,0,0,1
750177,1,0,1,0,0,0,1
750178,1,0,1,0,0,0,1
750179,1,0,1,0,0,0,1
750180,1,0,1,0,0,0,1
750182,1,0,1,0,0,0,1
750184,1,0,1,0,0,0,1
750185,1,0,0,0,1,1,0
750188,1,0,1,0,0,0,1
750193,1,0,1,0,0,0,1
750194,1,0,1,0,0,0,1
750196,1,0,1,0,0,0,1
750197,1,0,0,0,1,1,0
750198,1,0,1,0,0,0,1
750199,1,0,1,0,0,0,1
750200,1,0,1,0,0,0,1
750202,1,0,1,0,0,0,1
750203,1,0,1,0,0,0,1
750204,1,0,1,0,0,0,1
750207,1,0,0,0,1,1,0
750208,1,0,1,0,0,0,1
750209,1,0,0,0,1,1,0
750213,1,0,1,0,0,0,1
750214,1,0,0,0,1,1,0
750216,1,0,1,0,0,0,1
750217,1,0,1,0,0,0,1
750218,1,0,1,0,0,0,1
750219,1,0,0,0,1,1,0
750220,1,0,1,0,0,0,1
750221,1,0,1,0,0,0,1
750222,1,1,0,0,0,0,1
750223,1,0,0,1,0,1,0
750224,1,0,1,0,0,0,1
750225,1,0,0,0,1,1,0
750226,1,0,1,0,0,0,1
750227,1,0,1,0,0,0,1
750231,1,0,1,0,0,0,1
750232,1,1,0,0,0,0,1
750234,1,0,0,0,1,1,0
750235,1,0,0,1,0,1,0
750236,1,0,1,0,0,0,1
750237,1,0,0,1,0,1,0
750238,1,1,0,0,0,0,1
750240,1,0,1,0,0,0,1
750242,1,0,0,0,1,1,0
750243,1,0,0,0,1,1,0
750244,1,0,1,0,0,0,1
750245,1,0,1,0,0,0,1
750246,1,0,1,0,0,0,1
750247,1,0,1,0,0,0,1
750249,1,0,1,0,0,0,1
750254,1,1,0,0,0,0,1
750256,1,1,0,0,0,0,1
750257,1,1,0,0,0,0,1
750258,1,0,1,0,0,0,1
750259,1,0,1,0,0,0,1
750261,1,0,1,0,0,0,1
750262,1,0,1,0,0,0,1
750264,1,0,0,0,1,1,0
750266,1,0,1,0,0,0,1
750267,1,0,1,0,0,0,1
750269,1,0,0,1,0,1,0
750274,1,0,0,0,1,1,0
750275,1,0,1,0,0,0,1
750278,1,0,1,0,0,0,1
750280,1,0,0,0,1,1,0
750282,1,0,0,1,0,1,0
750284,1,0,1,0,0,0,1
750287,1,0,0,0,1,1,0
750288,1,0,1,0,0,0,1
750289,1,0,1,0,0,0,1
750290,1,0,1,0,0,0,1
750292,1,0,1,0,0,0,1
750294,1,0,1,0,0,0,1
750295,1,0,0,0,1,1,0
750296,1,0,0,1,0,1,0
750298,1,0,1,0,0,0,1
750300,1,0,1,0,0,0,1
750301,1,0,1,0,0,0,1
750303,1,0,1,0,0,0,1
750306,1,0,1,0,0,0,1
750311,1,0,1,0,0,0,1
750312,1,0,0,0,1,1,0
750318,1,0,1,0,0,0,1
750319,1,0,1,0,0,0,1
750320,1,0,1,0,0,0,1
750321,1,0,0,0,1,1,0
750323,1,1,0,0,0,0,1
750324,1,0,0,0,1,1,0
750327,1,0,0,1,0,1,0
750328,1,0,1,0,0,0,1
750329,1,0,0,0,1,1,0
750330,1,0,1,0,0,0,1
750333,1,0,1,0,0,0,1
750335,1,0,1,0,0,0,1
750339,1,0,1,0,0,0,1
750340,1,0,1,0,0,0,1
750341,1,0,1,0,0,0,1
750342,1,0,1,0,0,0,1
750343,1,0,0,1,0,1,0
750344,1,0,0,0,1,1,0
750345,1,0,1,0,0,0,1
750346,1,0,1,0,0,0,1
750348,1,0,1,0,0,0,1
750352,1,0,1,0,0,0,1
750354,1,0,0,0,1,1,0
750355,1,0,1,0,0,0,1
750356,1,0,1,0,0,0,1
750358,1,0,1,0,0,0,1
750363,1,0,1,0,0,0,1
750364,1,0,0,0,1,1,0
750366,1,0,0,0,1,1,0
750370,1,1,0,0,0,0,1
750371,1,0,1,0,0,0,1
750372,1,0,1,0,0,0,1
750376,1,0,1,0,0,0,1
750377,1,0,0,0,1,1,0
750378,1,0,1,0,0,0,1
750379,1,0,1,0,0,0,1
750380,1,0,1,0,0,0,1
750383,1,0,1,0,0,0,1
750384,1,0,1,0,0,0,1
750385,1,0,0,0,1,1,0
750387,1,0,1,0,0,0,1
750388,1,0,1,0,0,0,1
750389,1,0,1,0,0,0,1
750391,1,1,0,0,0,0,1
750393,1,0,1,0,0,0,1
750394,1,0,0,0,1,1,0
750397,1,0,0,0,1,1,0
750398,1,0,0,1,0,1,0
750399,1,0,0,1,0,1,0
750400,1,0,0,1,0,1,0
750401,1,0,0,0,1,1,0
750405,1,0,0,0,1,1,0
750406,1,1,0,0,0,0,1
750410,1,1,0,0,0,0,1
750411,1,0,0,0,1,1,0
750413,1,0,0,0,1,1,0
750414,1,0,1,0,0,0,1
750418,1,0,0,0,1,1,0
750419,1,0,1,0,0,0,1
750420,1,0,1,0,0,0,1
750421,1,0,1,0,0,0,1
750422,1,0,0,0,1,1,0
750423,1,0,1,0,0,0,1
750424,1,0,1,0,0,0,1
750425,1,0,1,0,0,0,1
750426,1,0,1,0,0,0,1
750428,1,0,1,0,0,0,1
750429,1,0,0,0,1,1,0
750430,1,0,0,0,1,1,0
750431,1,0,1,0,0,0,1
750434,1,0,1,0,0,0,1
750435,1,0,0,0,1,1,0
750436,1,0,1,0,0,0,1
750438,1,0,0,0,1,1,0
750441,1,0,1,0,0,0,1
750442,1,0,1,0,0,0,1
750443,1,0,0,0,1,1,0
750444,1,0,1,0,0,0,1
750445,1,0,1,0,0,0,1
750446,1,0,1,0,0,0,1
750448,1,0,1,0,0,0,1
750450,1,0,1,0,0,0,1
750452,1,0,1,0,0,0,1
750453,1,1,0,0,0,0,1
750454,1,1,0,0,0,0,1
750455,1,0,0,0,1,1,0
750456,1,0,0,0,1,1,0
750457,1,0,1,0,0,0,1
750458,1,0,1,0,0,0,1
