番組ID,商品ID,秒数
TVWatch.101701280600,97.0,15
TVWatch.101701281455,36.0,15
TVWatch.101701281455,164.0,15
TVWatch.101701281625,164.0,30
TVWatch.101701281630,197.0,15
TVWatch.101701281954,114.0,15
TVWatch.101701282306,97.0,30
TVWatch.101701282306,197.0,15
TVWatch.101701282315,97.0,30
TVWatch.101701282315,197.0,15
TVWatch.101701282415,197.0,15
TVWatch.101701282500,55.0,15
TVWatch.101701282530,55.0,45
TVWatch.101701282530,97.0,15
TVWatch.101701282600,55.0,30
TVWatch.101701282630,55.0,15
TVWatch.101701291857,114.0,15
TVWatch.101701291857,178.0,15
TVWatch.101701292058,97.0,30
TVWatch.101701292058,114.0,15
TVWatch.101701292410,1.0,30
TVWatch.101701292445,55.0,45
TVWatch.101701292445,97.0,45
TVWatch.101701292445,197.0,15
TVWatch.101701300800,197.0,15
TVWatch.101701301025,197.0,15
TVWatch.101701301500,197.0,15
TVWatch.101701301650,97.0,15
TVWatch.101701301650,197.0,30
TVWatch.101701301900,7.0,15
TVWatch.101701301900,26.0,30
TVWatch.101701301900,55.0,15
TVWatch.101701301900,97.0,15
TVWatch.101701301900,185.0,15
TVWatch.101701302315,55.0,15
TVWatch.101701302415,197.0,15
TVWatch.101701302450,197.0,15
TVWatch.101701302520,55.0,15
TVWatch.101701302526,197.0,15
TVWatch.101701302556,97.0,30
TVWatch.101701302621,55.0,45
TVWatch.101701302621,97.0,15
TVWatch.101701302651,55.0,30
TVWatch.101701302651,97.0,15
TVWatch.101701302651,197.0,30
TVWatch.101701310700,197.0,15
TVWatch.101701311025,197.0,15
TVWatch.101701311400,164.0,15
TVWatch.101701311404,197.0,15
TVWatch.101701311650,164.0,15
TVWatch.101701311650,197.0,15
TVWatch.101701311954,197.0,15
TVWatch.101701312154,97.0,15
TVWatch.101701312154,113.0,15
TVWatch.101701312315,113.0,15
TVWatch.101701312315,164.0,30
TVWatch.101701312315,197.0,15
TVWatch.101701312415,164.0,15
TVWatch.101701312415,197.0,15
TVWatch.101701312445,197.0,15
TVWatch.101701312520,113.0,15
TVWatch.101701312520,197.0,15
TVWatch.101701312526,36.0,15
TVWatch.101701312556,113.0,15
TVWatch.101701312556,197.0,15
TVWatch.101701312621,55.0,30
TVWatch.101701312621,97.0,30
TVWatch.101701312621,197.0,15
TVWatch.101701312651,55.0,45
TVWatch.101701312651,97.0,15
TVWatch.101701312651,197.0,15
TVWatch.101702010455,190.0,30
TVWatch.101702010800,190.0,30
TVWatch.101702011555,54.0,15
TVWatch.101702011555,164.0,15
TVWatch.101702011650,1.0,15
TVWatch.101702011650,113.0,15
TVWatch.101702011650,164.0,15
TVWatch.101702011650,197.0,15
TVWatch.101702011900,55.0,15
TVWatch.101702011900,164.0,15
TVWatch.101702011900,190.0,15
TVWatch.101702012154,39.0,15
TVWatch.101702012154,190.0,30
TVWatch.101702012315,113.0,15
TVWatch.101702012315,164.0,15
TVWatch.101702012315,190.0,15
TVWatch.101702012450,36.0,15
TVWatch.101702012450,55.0,15
TVWatch.101702012450,190.0,15
TVWatch.101702012524,55.0,15
TVWatch.101702012545,97.0,15
TVWatch.101702012600,55.0,30
TVWatch.101702012600,97.0,15
TVWatch.101702012600,113.0,30
TVWatch.101702012625,55.0,15
TVWatch.101702012625,113.0,15
TVWatch.101702012655,1.0,15
TVWatch.101702012655,55.0,15
TVWatch.101702012655,197.0,15
TVWatch.101702020400,1.0,15
TVWatch.101702020455,39.0,15
TVWatch.101702020700,39.0,15
TVWatch.101702020700,190.0,15
TVWatch.101702020800,39.0,15
TVWatch.101702020800,190.0,15
TVWatch.101702021230,197.0,15
TVWatch.101702021650,1.0,15
TVWatch.101702021650,197.0,15
TVWatch.101702021900,39.0,15
TVWatch.101702021900,97.0,30
TVWatch.101702022000,97.0,15
TVWatch.101702022154,39.0,15
TVWatch.101702022154,113.0,15
TVWatch.101702022154,190.0,30
TVWatch.101702022310,113.0,15
TVWatch.101702022310,190.0,30
TVWatch.101702022315,113.0,15
TVWatch.101702022415,190.0,15
TVWatch.101702022445,113.0,15
TVWatch.101702022445,164.0,15
TVWatch.101702022450,197.0,15
TVWatch.101702022520,164.0,15
TVWatch.101702022530,190.0,15
TVWatch.101702022600,32.0,30
TVWatch.101702022600,55.0,15
TVWatch.101702022600,97.0,15
TVWatch.101702022600,113.0,30
TVWatch.101702022625,55.0,15
TVWatch.101702022625,97.0,15
TVWatch.101702022625,113.0,15
TVWatch.101702022625,197.0,15
TVWatch.101702022655,197.0,15
TVWatch.101702030400,1.0,15
TVWatch.101702030455,39.0,45
TVWatch.101702030455,190.0,30
TVWatch.101702030700,190.0,15
TVWatch.101702030800,39.0,30
TVWatch.101702030800,190.0,15
TVWatch.101702031457,5.0,15
TVWatch.101702031550,1.0,15
TVWatch.101702031550,36.0,15
TVWatch.101702031550,113.0,30
TVWatch.101702031900,26.0,15
TVWatch.101702032000,54.0,15
TVWatch.101702032100,5.0,15
TVWatch.101702032100,164.0,15
TVWatch.101702032154,36.0,15
TVWatch.101702032310,97.0,15
TVWatch.101702032315,113.0,15
TVWatch.101702032420,190.0,15
TVWatch.101702032450,113.0,15
TVWatch.101702032520,97.0,15
TVWatch.101702032520,190.0,15
TVWatch.101702032525,55.0,15
TVWatch.101702032525,190.0,15
TVWatch.101702032555,97.0,30
TVWatch.101702032555,113.0,15
TVWatch.101702032555,197.0,15
TVWatch.101702032625,32.0,15
TVWatch.101702032625,97.0,15
TVWatch.101702032655,113.0,30
TVWatch.101702040600,5.0,30
TVWatch.101702040600,33.0,15
TVWatch.101702040600,39.0,15
TVWatch.101702040600,97.0,15
TVWatch.101702040600,190.0,45
TVWatch.101702040800,190.0,15
TVWatch.101702041000,55.0,15
TVWatch.101702041200,5.0,15
TVWatch.101702041200,55.0,15
TVWatch.101702041200,190.0,30
TVWatch.101702041400,29.0,15
TVWatch.101702041400,190.0,15
TVWatch.101702041455,29.0,15
TVWatch.101702041455,39.0,15
TVWatch.101702041455,190.0,15
TVWatch.101702041630,39.0,15
TVWatch.101702041630,97.0,15
TVWatch.101702041630,190.0,15
TVWatch.101702041856,113.0,15
TVWatch.101702042054,113.0,15
TVWatch.101702042100,26.0,15
TVWatch.101702042100,29.0,15
TVWatch.101702042100,97.0,30
TVWatch.101702042316,113.0,15
TVWatch.101702042322,29.0,15
TVWatch.101702042322,113.0,15
TVWatch.101702042325,97.0,30
TVWatch.101702042325,113.0,15
TVWatch.101702042425,113.0,15
TVWatch.101702042445,113.0,15
TVWatch.101702042510,33.0,15
TVWatch.101702042540,190.0,15
TVWatch.101702042615,32.0,15
