番組ID,広告主,アイテム名,秒数,商品ID
TVWatch.41701311550,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101701292410,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81701302330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41701281800,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.121701282300,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702052315,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702052410,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101702052315,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702112409,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702082330,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702072330,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101702122420,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.101702122455,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702052455,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702052445,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702052445,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702012518,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702012655,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702012705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702020400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702020400,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.81702020700,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702021130,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702021025,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702021650,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702021550,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.41702022054,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.61702021956,スカパー!/スカパーJSAT,スカパー!,30,1
TVWatch.81702022300,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.41702042530,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.121702042705,スカパー!/スカパーJSAT,スカパー!,15,1
TVWatch.101702042645,スカパー!/スカパーJSAT,スカパー!,15,1
