TVid,番組名,ジャンル,放送日,プライム,開始時,開始分,終了時,終了分,チャンネル,放送局
TVWatch.101702172720,“奪い愛、冬”完全ダイジェスト,,2017/02/17,0,27,20,27,55,10,テレビ朝日
TVWatch.11702191750,“放送＋α”８Ｋの挑戦進行中！,,2017/02/19,0,17,50,17,55,1,NHK
TVWatch.11702261345,“放送＋α”８Ｋの挑戦進行中！,,2017/02/26,0,13,45,13,50,1,NHK
TVWatch.11702262705,“放送＋α”８Ｋの挑戦進行中！,,2017/02/26,0,27,5,27,10,1,NHK
TVWatch.11703050415,“放送＋α”８Ｋの挑戦進行中！,,2017/03/05,0,4,15,4,20,1,NHK
TVWatch.11703220425,“放送＋α”８Ｋの挑戦進行中！,,2017/03/22,0,4,25,4,30,1,NHK
TVWatch.41702212754,（秘）ランナー東京を走る,,2017/02/21,0,27,54,27,59,4,日本テレビ
TVWatch.121703180654,「３週連続　春の特別ドラマ」オススメ,,2017/03/18,0,6,54,7,0,12,テレビ東京
TVWatch.121703181424,「３週連続　春の特別ドラマ」オススメ,,2017/03/18,0,14,24,14,30,12,テレビ東京
TVWatch.121703190654,「３週連続　春の特別ドラマ」オススメ,,2017/03/19,0,6,54,7,0,12,テレビ東京
TVWatch.121703192735,「３週連続　春の特別ドラマ」オススメ,,2017/03/19,0,27,35,27,40,12,テレビ東京
TVWatch.61701291400,「Ａ　ＬＩＦＥ～愛しき人～」ダイジェスト,,2017/01/29,0,14,0,15,0,6,TBS
TVWatch.61702191400,「Ａ　ＬＩＦＥ～愛しき人～」ダイジェスト,,2017/02/19,0,14,0,15,30,6,TBS
TVWatch.61702111530,「ＫＵＮＯＩＣＨＩ２０１７」ナビ,,2017/02/11,0,15,30,16,30,6,TBS
TVWatch.41702272459,「ＮＥＷアベレージピープル」ＭＣオリラジが「新定番な人々」を徹底取材！日本の今！,,2017/02/27,0,24,59,25,29,4,日本テレビ
TVWatch.41703250525,「ＰとＪＫ」函館の魅力,,2017/03/25,0,5,25,5,30,4,日本テレビ
TVWatch.41703260505,「ＰとＪＫ」函館の魅力［再］,,2017/03/26,0,5,5,5,10,4,日本テレビ
TVWatch.41703192755,「ＰとＪＫ」新婚生活,,2017/03/19,0,27,55,28,0,4,日本テレビ
TVWatch.11703062408,「おんな城主　直虎」城主ライブ編,,2017/03/06,0,24,8,24,10,1,NHK
TVWatch.11703091045,「おんな城主　直虎」城主ライブ編,,2017/03/09,0,10,45,10,47,1,NHK
TVWatch.11703100411,「おんな城主　直虎」城主ライブ編,,2017/03/10,0,4,11,4,15,1,NHK
TVWatch.11703142405,「おんな城主　直虎」城主ライブ編,,2017/03/14,0,24,5,24,7,1,NHK
TVWatch.11703191842,「おんな城主　直虎」城主ライブ編,,2017/03/19,0,18,42,18,45,1,NHK
TVWatch.11703242405,「おんな城主　直虎」城主ライブ編,,2017/03/24,0,24,5,24,7,1,NHK
TVWatch.11703251240,「おんな城主　直虎」城主ライブ編,,2017/03/25,0,12,40,12,42,1,NHK
TVWatch.11703281238,「おんな城主　直虎」城主ライブ編,,2017/03/28,0,12,38,12,40,1,NHK
TVWatch.11703290411,「おんな城主　直虎」城主ライブ編,,2017/03/29,0,4,11,4,15,1,NHK
TVWatch.11703201240,「おんな城主　直虎」城主女子会編,,2017/03/20,0,12,40,12,42,1,NHK
TVWatch.11703202348,「おんな城主　直虎」城主女子会編,,2017/03/20,0,23,48,23,50,1,NHK
TVWatch.11703272408,「おんな城主　直虎」城主女子会編,,2017/03/27,0,24,8,24,10,1,NHK
TVWatch.11703291238,「おんな城主　直虎」城主女子会編,,2017/03/29,0,12,38,12,40,1,NHK
TVWatch.11701312405,「おんな城主　直虎」女子会編,,2017/01/31,0,24,5,24,7,1,NHK
TVWatch.81701302635,「きみはペット」一人と一匹暮らし、胸キュンラブコメ登場！＜Ｍナイト＞,,2017/01/30,0,26,35,27,5,8,フジテレビ
TVWatch.121702062500,「コジハルタビ」　ＡＫＢ小嶋陽菜が大親友・峯岸みなみとハワイで卒業旅行！,,2017/02/06,0,25,0,25,30,12,テレビ東京
TVWatch.121702132500,「コジハルタビ」　ＡＫＢ小嶋陽菜が大親友・峯岸みなみとハワイで卒業旅行！,,2017/02/13,0,25,0,25,30,12,テレビ東京
TVWatch.121702202500,「コジハルタビ」　ＡＫＢ小嶋陽菜が大親友・峯岸みなみとハワイで卒業旅行！,,2017/02/20,0,25,0,25,30,12,テレビ東京
TVWatch.121702272500,「コジハルタビ」　ＡＫＢ小嶋陽菜が大親友・峯岸みなみとハワイで卒業旅行！,,2017/02/27,0,25,0,25,30,12,テレビ東京
TVWatch.61703111600,「ナイナイのお見合い大作戦！」ナビ,,2017/03/11,0,16,0,17,0,6,TBS
TVWatch.41703132559,「ひるね姫」公開記念「攻殻機動隊Ｓ．Ａ．Ｃ．特別セレクション」,,2017/03/13,0,25,59,27,58,4,日本テレビ
TVWatch.61703201900,「リーダーズ１」特別編　ディレクターズカット　３月２６日夜９時「リーダーズ２」,,2017/03/20,1,19,0,22,54,6,TBS
TVWatch.61701291500,「下剋上受験」遂に新章突入！徹底予習＆復習ダイジェスト,,2017/01/29,0,15,0,16,0,6,TBS
TVWatch.121702110654,「世界！ニッポン行きたい人応援団」オススメ,,2017/02/11,0,6,54,7,0,12,テレビ東京
TVWatch.41702181030,「得する人損する人」傑作選,,2017/02/18,0,10,30,11,20,4,日本テレビ
TVWatch.41703041030,「得する人損する人」傑作選,,2017/03/04,0,10,30,11,20,4,日本テレビ
TVWatch.41703151900,「悪い奴らは許さない！」直撃！怒りの告発スペシャル,,2017/03/15,1,19,0,21,54,4,日本テレビ
