Product_ID,Category0_NumUsers,Category1_NumUsers,Category2_NumUsers,Category3_NumUsers,Category4_NumUsers,Category5_NumUsers
32,250,2196,212,342,554,2446
36,170,2254,326,250,576,2424
39,50,2578,334,38,372,2628
42,315,2496,126,63,189,2811
43,324,2565,72,39,111,2889
55,107,2607,245,41,286,2714
58,105,2619,244,32,276,2724
97,69,2574,272,85,357,2643
113,162,2331,230,277,507,2493
114,188,2175,230,407,637,2363
154,250,1495,367,888,1255,1745
157,321,1757,319,603,922,2078
163,137,1866,419,578,997,2003
165,173,2112,310,405,715,2285
178,179,2426,236,159,395,2605
185,203,2326,262,209,471,2529
186,189,2399,254,158,412,2588
190,213,2509,104,174,278,2722
197,132,2528,216,124,340,2660
